the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.88321956492207 40.871211580135785, -73.88346063662424 40.871128188220084, -73.88360535416399 40.87136775811866, -73.88346323844334 40.87146371938144, -73.88321956492207 40.871211580135785)))",973,BX,3299,1,2988 Bainbridge Avenue,2032990001,Bedford Park Congregational Church,LP-02062,"Borough of Bronx Tax Map Block 3299, Lot 1.",Designated,,06/20/2000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2062.pdf,335.830851386,6501.2415929
"MULTIPOLYGON (((-73.91195633370491 40.89584717201673, -73.91194695028501 40.89576935217835, -73.91193661378408 40.89569973142457, -73.91192160315808 40.89562632956943, -73.91190785948342 40.895568508864635, -73.91188054987333 40.895476395448966, -73.91216559280089 40.89548575080076, -73.91228171429034 40.89552201156699, -73.91255348103812 40.89560687502172, -73.91251474702271 40.89602985734986, -73.91247216322742 40.89605149163091, -73.91242222363127 40.896070848393364, -73.91234636980673 40.89609474911644, -73.91225240820272 40.895900010964574, -73.91195633370491 40.89584717201673)))",974,BX,5926,76,4715 Independence Avenue,2059260076,Alderbrook House,LP-02399,"Borough of the Bronx Tax Map Block 5926, Lot 76",Designated,,12/14/2010,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2399.pdf,698.21448158,26398.8494354
"MULTIPOLYGON (((-73.8305735274912 40.89121863266851, -73.8302494322737 40.891191260782065, -73.83032406095727 40.890617264287926, -73.83062347513626 40.89064894280661, -73.83098375715014 40.890687060821115, -73.83091512071915 40.891247481761916, -73.8305735274912 40.89121863266851)))",975,BX,4970,10,4010 Dyre Avenue,2049700010,Public School 15,LP-00976,"Borough of the Bronx, Tax Map Block 4970, Lot 10.",Designated,,01/10/1978,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0976.pdf,784.561530648,38319.5617655
"MULTIPOLYGON (((-73.91010124040551 40.8985235345149, -73.9101199420587 40.8984755334563, -73.91024970484784 40.898142492152424, -73.91112527730823 40.89825119703011, -73.91116829797883 40.89825658262005, -73.91116544433055 40.89827043257359, -73.91106216029569 40.89877173816216, -73.91099100329428 40.89875335936897, -73.91028364814251 40.898570650174456, -73.91010124040551 40.8985235345149)))",976,BX,5940,455,4970 Independence Avenue,2059400455,Spaulding Estate Coachman's House,LP-01083,"Borough of the Bronx Tax Map Block 5940, Lot 355.",Designated,,07/28/1981,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1083.pdf,872.692988805,44740.0431551
"MULTIPOLYGON (((-73.78149347662908 40.8387655324045, -73.78150725692737 40.83872394567893, -73.7815118848639 40.83868381122427, -73.78151194657532 40.83866502068624, -73.78149626764834 40.83864534575857, -73.78148732564144 40.83862824550388, -73.78149079546418 40.8385992119741, -73.78150210052857 40.838581297306646, -73.78152240089564 40.83856425154689, -73.78153980085662 40.83855521380616, -73.7815380799206 40.83855861802441, -73.78153147405408 40.838565966168495, -73.78151594667273 40.83859185483949, -73.78195848282634 40.8385016403985, -73.7820576423381 40.83878190104756, -73.78182638914491 40.83882854719092, -73.78178340328334 40.83870705106695, -73.78149347662908 40.8387655324045)))",977,BX,5637,125,175 Belden Street,2056370125,175 Belden Street House,LP-01082,"Borough of the Bronx, Tax Map Block 5637, Lot 125.",Designated,,07/28/1981,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1082.pdf,526.797978583,11390.9252337
"MULTIPOLYGON (((-73.89901429898063 40.86428278395245, -73.89930080605147 40.86391411708956, -73.89928102948674 40.8639056037044, -73.89953724136653 40.86357591991599, -73.90006108797336 40.86380142892, -73.89951837260902 40.8644997828592, -73.89901429898063 40.86428278395245)))",978,BX,3190,1,2500 Jerome Avenue,2031900001,Saint James Episcopal Church and Parish House,LP-01081,"Borough of The Bronx, Tax Map Block 3190, Lot 1.",Designated,,11/25/1980,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1081.pdf,923.977783799,48220.0919929
"MULTIPOLYGON (((-73.90844092160202 40.89569013570042, -73.90925919196773 40.89559378878693, -73.90936190241074 40.895794492068774, -73.90946260273384 40.895767267493476, -73.9095155636239 40.895563602264346, -73.90991329808907 40.89551676755479, -73.91013717933151 40.895490404765006, -73.91002731883141 40.89553922722049, -73.91002880286192 40.895643071375545, -73.90991558096019 40.89565448767003, -73.90964736776331 40.89568153032526, -73.90955130489135 40.89571252452269, -73.90964082355015 40.895883732644485, -73.90839004100951 40.896244361665964, -73.90841277192132 40.89599756766374, -73.90844092160202 40.89569013570042)))",979,BX,5912,13,4765 Henry Hudson Parkway,2059120013,Riverdale Presbyterian Church,LP-00128,"Borough of The Bronx Tax Map Block 5912, Lot 13.",Designated,,04/19/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0128.pdf,1434.19865269,55139.5345372
"MULTIPOLYGON (((-73.87938748140598 40.86887478306602, -73.87945745289308 40.868789189010364, -73.87947170419996 40.86877411169217, -73.87953020286142 40.868713776045325, -73.8795722554005 40.868675864305956, -73.87961074588107 40.86864504739395, -73.87969188870068 40.868590886530875, -73.87984592416524 40.86848368255438, -73.88004409792748 40.86837265666052, -73.88005587332435 40.86839115235059, -73.88129540645919 40.86772603848255, -73.8813060520267 40.86775827255618, -73.88150634244013 40.868364679019834, -73.88108809054538 40.86862940602284, -73.88100583181514 40.86867869416666, -73.87987265047539 40.86929021130531, -73.87957594532494 40.86945032243965, -73.87938748140598 40.86887478306602)))",980,BX,3325,5,3016 Webster Avenue,2033250005,52nd Police Precinct Station House,LP-00771,"Borough of The Bronx Tax Map Block 3325, Lot 5.",Designated,,06/18/1974,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0771.pdf,1808.17850511,154272.039773
"MULTIPOLYGON (((-73.90064659999787 40.87737102830646, -73.90101802180152 40.877564581349276, -73.90078913704265 40.87780424865426, -73.90036065319262 40.877557746474494, -73.90064659999787 40.87737102830646)))",981,BX,3257,111,3101 Kingsbridge Terrace,2032570111,40th Police Precinct Station House,LP-01285,"Borough of the Bronx Tax Map Block 3257, Lot 111.",Designated,later the 50th Police Precinct Station House,07/15/1986,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1285.pdf,485.435342233,14297.753941
"MULTIPOLYGON (((-73.88594968130955 40.87883943425293, -73.88787577791231 40.877165516261314, -73.88796087942019 40.87697707542878, -73.88804081987418 40.877683340036164, -73.88653269228102 40.87899401574736, -73.88642354963076 40.8790888657266, -73.88627756961253 40.878988301378456, -73.8862494407132 40.87896153097129, -73.88621652415395 40.878930922460505, -73.88617465574394 40.87890267429498, -73.88613015370554 40.87888196059847, -73.88606568698987 40.878865373022926, -73.88594968130955 40.87883943425293)))",982,BX,3251,401,3205 Jerome Avenue,2032510401,High Pumping Station,LP-01080,"Borough of The Bronx, Tax Map Block 3251, Lot 401 in part.",Designated,,07/28/1981,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1080.pdf,1984.04948344,120473.997749
"MULTIPOLYGON (((-73.79086395451702 40.84780795391238, -73.791289441159 40.84771638060421, -73.79129590581175 40.847776285095826, -73.7913034662738 40.84787623115943, -73.79130672744417 40.84791211276276, -73.79132763369694 40.84806076820315, -73.79133092704481 40.84808639953352, -73.79133313522284 40.84809921486359, -73.79134423145832 40.84814792017156, -73.79134736942477 40.848223090124705, -73.79134162019511 40.848263224671165, -73.79133814998953 40.8482939684804, -73.79132452401595 40.84833494154572, -73.79130639771172 40.84837590736811, -73.79128149857442 40.84842454755419, -73.79121149130536 40.84851068823708, -73.79122272187044 40.8485158332772, -73.79123392413464 40.848530374024264, -73.7912350066185 40.848544042787765, -73.79123290321026 40.848550366755696, -73.79122589208109 40.84855915549998, -73.79118816241183 40.84859134832462, -73.79086395451702 40.84780795391238)))",983,BX,5633,36,21 Tier Street,2056330036,21 Tier Street House,LP-02063,"Borough of the Bronx Tax Map Block 5633, Lot 36.",Designated,,06/20/2000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2063.pdf,756.547301034,23933.6373294
"MULTIPOLYGON (((-73.91039381566485 40.89670344990779, -73.91041595238876 40.89666935493295, -73.91060414038776 40.89637950156281, -73.91077196035158 40.89612332466302, -73.91092948767822 40.895877958890175, -73.91137464289912 40.896099615414855, -73.91142898642147 40.896127664895765, -73.91139370600071 40.896735372158055, -73.91105382577166 40.89752126523378, -73.91102220557555 40.89750507086851, -73.91099114462726 40.89748689405909, -73.91097328459554 40.89747515327895, -73.91094189193022 40.89744594436594, -73.91090896055498 40.89741374104657, -73.91088791035405 40.897390694010134, -73.91085687456723 40.897353823127006, -73.91083975230299 40.89733267733571, -73.91082548670046 40.89731315732191, -73.91080509743782 40.89728401720229, -73.91077412398278 40.897235261750616, -73.91064446545565 40.89703851276723, -73.91051519140343 40.896848521164095, -73.91048803690275 40.89680970273674, -73.91046835999497 40.896785833642944, -73.91044399863486 40.896755276615046, -73.91041756510975 40.89672749146618, -73.91039381566485 40.89670344990779)))",984,BX,5914,315,640 West 249th Street,2059140315,Anthony Campagna Estate,LP-01887,"Borough of The Bronx Tax Map Block 5914, Lot 315.",Designated,now Yeshiva of the Telshe Alumni School,11/16/1993,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1887.pdf,1375.94350813,100472.864052
"MULTIPOLYGON (((-73.87555425285558 40.87883610143437, -73.87559279752094 40.87882421602737, -73.87559998812989 40.87883064425742, -73.8756104821463 40.87883999362851, -73.87561940235656 40.87884778345834, -73.87563045853086 40.87885724059152, -73.87564765240597 40.878871534554406, -73.87565834469467 40.8788801799531, -73.8756696853302 40.87888915562786, -73.87568332348583 40.87889969072, -73.87569594444614 40.87890919905914, -73.8757078585099 40.87891796823547, -73.8757157812787 40.87892369306517, -73.87572356439367 40.878929235845355, -73.87573148865788 40.87893479678672, -73.87573897111152 40.87893997454455, -73.87574987807231 40.878947398203614, -73.8757644858915 40.87895711218449, -73.87577983835551 40.878967051186436, -73.87579691080445 40.87897778806871, -73.87581049620066 40.87898610158511, -73.87582300234466 40.878993580987334, -73.87583257206899 40.87899919411946, -73.87584174613558 40.879004486251425, -73.87585159708385 40.87901007627184, -73.87586103695443 40.87901534347453, -73.87586834245432 40.87901935670263, -73.8756828132607 40.879182719827526, -73.87555425285558 40.87883610143437)))",985,BX,3343,185,3400 Resevoir Oval,2033430185,Williamsbridge Reservoir Keeper's House,LP-02047,"Borough of the Bronx Tax Map Block 3343, Lot 185.",Designated,,02/08/2000,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2047.pdf,325.775333303,4612.44640027
"MULTIPOLYGON (((-73.91240575470464 40.89517558391613, -73.91240579270732 40.89509901842551, -73.91248673992109 40.89498221220114, -73.91252432950877 40.89492806662481, -73.91256594427362 40.89486490032607, -73.91261686629632 40.89478174759255, -73.9126579784126 40.89471444765307, -73.91271234050546 40.89461765603281, -73.91274102806928 40.89456467518177, -73.9128028982367 40.8944505431509, -73.91287979984159 40.89428388363739, -73.91298687344293 40.89432116072636, -73.9133605112084 40.894412455568435, -73.91332913738077 40.8945019807366, -73.91362996329947 40.89457482670836, -73.91359180189846 40.894689027355014, -73.91415272763957 40.8948261421575, -73.91409040493669 40.89500822154591, -73.91399445290563 40.89528149585012, -73.91398106401904 40.895359913592124, -73.91240575470464 40.89517558391613)))",986,BX,5925,411,690 West 247th Street,2059250411,"William E. and Melissa Phelps Dodge House, Greystone",LP-00672,"Borough of The Bronx Tax Map Block 5925, Lot 411.",Designated,,10/13/1970,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0672.pdf,1462.00059268,112908.881379
"MULTIPOLYGON (((-73.89941010884498 40.868426696003866, -73.89920800860479 40.868695224763705, -73.89941858184167 40.868789104412066, -73.89941762636525 40.86879261728841, -73.89941436819684 40.86880334467859, -73.8994126151836 40.86880868755436, -73.89940886842994 40.868819322668585, -73.89940479793779 40.86882989086424, -73.89940264174038 40.868835146040915, -73.89939322129035 40.868855969746726, -73.89939066786125 40.86886112282154, -73.89938532742259 40.8688713585291, -73.89936745293905 40.8689014652088, -73.89936088775778 40.868911282920536, -73.8993504839829 40.86892578523091, -73.89934686826685 40.86893055827211, -73.89934318024112 40.86893529793203, -73.89932771690015 40.8689539254705, -73.89930243336444 40.868980797421564, -73.89928888490846 40.86899371752386, -73.899283871909 40.868998426309275, -73.89927984416823 40.86900267760543, -73.89884738802552 40.86945115988382, -73.89679801901403 40.86853635356088, -73.89748114051281 40.86762713410157, -73.89837788796362 40.86776822179302, -73.89839898038035 40.867772522194095, -73.89840468421814 40.86777369875296, -73.89842708334527 40.867778319072656, -73.89843410580941 40.86777977864398, -73.898448143598 40.86778271308736, -73.89846217661552 40.867785665534626, -73.89848321067329 40.867790127056544, -73.89851123503658 40.86779613816191, -73.8985252370948 40.86779917161831, -73.89854622827514 40.86780375285613, -73.89855322097276 40.867805288935614, -73.89857419190773 40.86780992508038, -73.89859514617841 40.86781460082824, -73.89860212696821 40.867816168411444, -73.8986160849696 40.86781931708071, -73.89865094842716 40.86782726571068, -73.89867184554592 40.86783208907466, -73.89868576783343 40.867835325952086, -73.89869968297769 40.86783858083139, -73.89870785180271 40.86784050694545, -73.89874124066122 40.86784856681482, -73.89875492164367 40.8678521402552, -73.89876173714089 40.867853982332925, -73.89878207534628 40.86785973449169, -73.8988022434212 40.86786581967868, -73.89881559125698 40.86787006098285, -73.89882885702588 40.8678744471923, -73.89884203598182 40.86787897920342, -73.89884859453696 40.8678812992107, -73.89886164149837 40.86788604722132, -73.89887459690758 40.86789093742755, -73.89888104013218 40.86789343562881, -73.89889385169056 40.86789853822233, -73.89890656695485 40.867903781206415, -73.89891288773737 40.86790645399354, -73.89892544729447 40.86791190575268, -73.8989379046334 40.86791749339481, -73.8989502538219 40.86792321781527, -73.89896249249036 40.86792907721105, -73.89897461708154 40.86793507067858, -73.8989866276009 40.867941194615916, -73.8989985204859 40.867947451721484, -73.89900442178025 40.86795062841049, -73.89901613288396 40.86795707986079, -73.89902771924422 40.8679636590703, -73.89903917849287 40.86797036333543, -73.89905051062856 40.86797719355672, -73.89906171090915 40.86798414792909, -73.89906726056691 40.867987670995646, -73.89908370761418 40.86799842101553, -73.89909450048549 40.86800573612461, -73.89910515201895 40.86801317087424, -73.8991156610353 40.86802072076086, -73.89912602634968 40.86802838488308, -73.89913624203238 40.86803616233519, -73.89914631045855 40.86804405131835, -73.8991611281022 40.86805608940379, -73.89917081416492 40.868064249098, -73.89918034467588 40.86807251491317, -73.89918971371083 40.8680808823418, -73.89919434063741 40.8680851060773, -73.89919892601053 40.86808935408952, -73.89920346982872 40.868093627278945, -73.89921685907677 40.86810659431486, -73.89922123905193 40.86811096551383, -73.89922557628874 40.86811536008802, -73.89922987197201 40.86811977893898, -73.89923412728939 40.86812422116725, -73.89923833868214 40.8681286867697, -73.89924250852266 40.86813317574844, -73.89924663444003 40.86813768720092, -73.89925071643549 40.86814222022665, -73.89925475688013 40.8681467757282, -73.89925875340016 40.86815135460395, -73.8992666146759 40.86816057617478, -73.89927047824547 40.868165218868796, -73.89927807599388 40.86817456717776, -73.89928549331533 40.86818399817377, -73.89928913372479 40.86818874332818, -73.89929272902754 40.868193509154324, -73.8992962792262 40.868198293851286, -73.8992997855043 40.86820309922107, -73.89930324549208 40.86820792346062, -73.89930665681992 40.868212764766895, -73.89931002304232 40.86821762584449, -73.89931334416062 40.86822250579286, -73.89931661661754 40.86822740370849, -73.89932302385348 40.86823725164771, -73.89933527219543 40.86825715414368, -73.89933821470805 40.86826217153592, -73.89934395731848 40.86827225302136, -73.89934675623013 40.868277317113545, -73.89934950529813 40.86828239647047, -73.8993522092661 40.86828749199684, -73.89935486339311 40.86829260098698, -73.89936975808598 40.868323549388705, -73.8993743293996 40.86833397113648, -73.89937869898378 40.86834444223508, -73.89938287158876 40.86835495908671, -73.89939061163152 40.8683761264347, -73.89941010884498 40.868426696003866)))",987,BX,3247,2,29 West Kingsbridge Road,2032470002,Eighth Coastal Artillery Armory,LP-00823,"Borough of the Bronx Tax Map Block 3247, Lot 2.",Designated,"later the Eighth Regiment Armory, designated as the Kingsbridge Armory",09/24/1974,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0823.pdf,2160.56772974,293714.4178
"MULTIPOLYGON (((-73.91141467846663 40.89456123727154, -73.91152337304638 40.89454832933564, -73.91166096780485 40.89453199095791, -73.91186929690812 40.89458547330732, -73.91187742447309 40.89466783425653, -73.91187806120483 40.894720141206705, -73.91186796613604 40.89477022657182, -73.91171969969005 40.89504790654707, -73.91171270762642 40.8950899664467, -73.91171207401409 40.89509258637283, -73.91158973730893 40.89506554573684, -73.91149957439987 40.89484406724226, -73.91146971779725 40.89476357071961, -73.91145004467319 40.89470052889424, -73.91141467846663 40.89456123727154)))",988,BX,5924,480,4695 Independence Avenue,2059240480,Greyston Gatehouse,LP-02396,"Borough of the Bronx Tax Map Block 5924, Lot 480.",Designated,,03/22/2011,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2396.pdf,548.34872896,17398.2622695
"MULTIPOLYGON (((-73.91002880286192 40.895643071375545, -73.91003063833323 40.89577133694756, -73.90991805936875 40.89580379627183, -73.90964082355015 40.895883732644485, -73.90955130489135 40.89571252452269, -73.90964736776331 40.89568153032526, -73.90991558096019 40.89565448767003, -73.91002880286192 40.895643071375545)))",989,BX,5912,55,4765 Henry Hudson Parkway,2059120055,Riverdale Presbyterian Church Rectory,LP-00129,"Borough of The Bronx Tax Map Block 5912, Lot 55.",Designated,also known as Duff House,04/19/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0129.pdf,364.372493544,7368.38327407
"MULTIPOLYGON (((-73.91411447170528 40.858885642350096, -73.91409472334952 40.858878855957514, -73.91406792472495 40.85886964739363, -73.91405633525655 40.85886922093345, -73.91402873249208 40.858876536666465, -73.9140237999251 40.858884647312664, -73.91400943771228 40.85890055548396, -73.91399488446865 40.85891651844095, -73.91396960567693 40.858907831470844, -73.91394376021259 40.85889895136751, -73.91391507662938 40.858889094809804, -73.91388331782395 40.85887818237552, -73.91379504193975 40.85884784915811, -73.9138034738293 40.85883388524486, -73.91381572643202 40.85881314979338, -73.913816005782 40.85880351114935, -73.91380582509986 40.858783140747256, -73.91379714239373 40.85878015723793, -73.91374652824278 40.85875897048487, -73.91374950927782 40.85875400290511, -73.9135596121402 40.85868830145994, -73.91364546319629 40.858545265160885, -73.91383536000913 40.85861096736687, -73.91383936441788 40.858604295919925, -73.91389179469246 40.85862243672761, -73.9138936740948 40.85861821933108, -73.91390235678527 40.858621201932735, -73.91392847330275 40.85861483964113, -73.91393702316589 40.858608650642786, -73.91395869168632 40.85857229958455, -73.91401795897757 40.858592665143256, -73.91405005553945 40.85860369395601, -73.91408239632644 40.85861480758784, -73.91411609572405 40.85862638687516, -73.9141487376544 40.858637603368436, -73.91416190515629 40.85864212822633, -73.91414023672537 40.85867847842183, -73.91414559880695 40.858680321214166, -73.91414108326144 40.85868789548348, -73.91415155155764 40.85870511885514, -73.91416081770606 40.858710014513804, -73.91415868414236 40.85871359417804, -73.91418122671655 40.85872133985998, -73.9142071100795 40.85873023344598, -73.91411447170528 40.858885642350096)))",1020,BX,3222,62,Hall of Fame Terrace at Sedgwick Avenue,2032220062,"Gould Memorial Library, New York University",LP-00112,"Borough of the Bronx Tax Map Block 3332, Lot 62 in part, consisting of the land on which the described building is situated.",Designated,now Bronx Community College,02/15/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0112.pdf,539.602913852,13372.1781531
"MULTIPOLYGON (((-73.91335858878479 40.859133622529995, -73.91350010644399 40.85889596495427, -73.9136900889606 40.85896117669144, -73.91364194914675 40.85904202184267, -73.91353651746951 40.85919469581425, -73.91346702702303 40.85917084374824, -73.91339362322948 40.859145647872104, -73.91335858878479 40.859133622529995)))",1021,BX,3222,62,Hall of Fame Terrace at Sedgwick Avenue,2032220062,"Cornelius Baker Hall of Philosophy, New York University",LP-00115,"Borough of the Bonx Tax Map Block 3222, Lot 62 in part, consisting of the land on which the described building is situated.",Designated,now Bronx Community College,02/15/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0115.pdf,301.846715904,5365.80213653
"MULTIPOLYGON (((-73.91400049641804 40.85843988386923, -73.91395707120019 40.85842497808582, -73.91381151709714 40.85837298766694, -73.913903084739 40.858219209882385, -73.91394079593108 40.8581558776828, -73.91395168957591 40.85813758243147, -73.91406755252851 40.858177352516634, -73.91414167036896 40.85820279343376, -73.9141222104546 40.85823547577201, -73.9141094031781 40.8582569843667, -73.91409443975189 40.85828211402896, -73.91404938537663 40.85835777843146, -73.91400049641804 40.85843988386923)))",1022,BX,3222,62,Hall of Fame Terrace at Sedgwick Avenue,2032220062,"Hall of Languages, New York University",LP-00114,"Borough of the Bronx, Tax Map Block 3222, Lot 62 in part, consisting of the land on which the described building is situated.",Designated,now Bronx Community College,02/15/1966,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0114.pdf,304.277166678,5452.45057217
