the_geom,OBJECTID,Borough,Block,Lot,Address,BBL,LPC_NAME,LPC_LPNumb,LPC_SiteDe,LPC_SiteSt,LPC_Altern,DesDate,LandmarkTy,URL_REPORT,Shape_Leng,Shape_Area
"MULTIPOLYGON (((-73.8939248451414 40.81872198770497, -73.89415071868827 40.818503071911415, -73.89439953651191 40.818651463351, -73.89417338064024 40.8188707134516, -73.8939248451414 40.81872198770497)))",953,BX,2722,63,877 Southern Boulevard,2027220063,"New York Public Library, Hunts Point Branch",LP-02323,"Borough of the Bronx, Tax Map Block 2722, Lot 63",Designated,,04/14/2009,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2323.pdf,377.952018338,8880.00547117
"MULTIPOLYGON (((-73.92543502000063 40.84009296024013, -73.92585940490594 40.839324139338586, -73.9262130667257 40.839439787802306, -73.92634435382527 40.840085933539655, -73.92596641172071 40.84004848137839, -73.92543502000063 40.84009296024013)))",954,BX,2529,81,1257 Ogden Avenue,2025290081,Public School 91,LP-01179,"Borough of the Bronx Tax Map Block 2529, Lot 81.",Designated,now Public School 11,08/25/1981,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1179.pdf,901.861728503,43991.9764098
"MULTIPOLYGON (((-73.87895976104754 40.84385541627114, -73.87880008486042 40.84376663284083, -73.87919869434832 40.84333406487342, -73.87963733896406 40.84358198895496, -73.87928664566455 40.84398131732936, -73.87925368878447 40.844018845119095, -73.87895976104754 40.84385541627114)))",955,BX,3133,25,2103 Bryant Avenue,2031330025,Old West Farms Soldiers' Cemetery,LP-00624,"Borough of The Bronx Tax Map Block 3133, Lot 25.",Designated,,08/02/1967,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/0624.pdf,690.509447195,29409.64131
"MULTIPOLYGON (((-73.89866820992262 40.86085022937165, -73.89839875460149 40.860768353030316, -73.8987035551456 40.86019529576205, -73.89897085205375 40.86027651755637, -73.89929617277053 40.86037536696578, -73.89900697440274 40.86092360120474, -73.89868165143542 40.86082475008897, -73.89866820992262 40.86085022937165)))",956,BX,3165,44,2401-2419 Grand Concourse,2031650044,Loew's Paradise Theater,LP-01891,"Borough of the Bronx Tax Map Block 3165, Lot 44.",Designated,,04/15/1997,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1891.pdf,804.111846207,38860.1594095
"MULTIPOLYGON (((-73.91839822913893 40.81797863833876, -73.91843093633433 40.81790739075006, -73.91877775514462 40.817996102199565, -73.91874576161368 40.81806753318913, -73.91839822913893 40.81797863833876)))",957,BX,2398,1,614 Courtlandt Avenue,2023980001,614 Courtlandt Avenue Building,LP-01283,"Borough of the Bronx Tax Map Block 2398, Lot 1.",Designated,,02/10/1987,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1283.pdf,257.772214206,2787.35269822
"MULTIPOLYGON (((-73.89905561444358 40.846483594032854, -73.8992114122217 40.84620524474801, -73.89937702216939 40.846258703909825, -73.8992212237732 40.84653705341473, -73.89905561444358 40.846483594032854)))",958,BX,2909,40,451-453 East 176th Street,2029090040,"Firehouse, Engine Company 46",LP-02523,"Borough of the Bronx Tax Map Block 2909, Lot 40",Designated,now Engine Company 45 and Hook & Ladder 17,02/12/2013,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2523.pdf,319.962600456,5486.27333994
"MULTIPOLYGON (((-73.90389761162453 40.81537822477372, -73.90353298805577 40.81530498358619, -73.90358503875864 40.815159575165275, -73.90395223405449 40.81523333341746, -73.90390018409754 40.81537874110194, -73.90389761162453 40.81537822477372)))",959,BX,2675,33,655-659 and 661 Prospect Avenue,2026750033,"Firehouses, Engine Company 73 and Hook & Ladder Company 42",LP-02524,"Borough of the Bronx Tax Map Block 2675, Lot 33",Designated,,02/12/2013,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2524.pdf,320.068508006,5771.81199369
"MULTIPOLYGON (((-73.92004994436279 40.81736575196832, -73.92017246342537 40.81709885659573, -73.92026040446702 40.81712149560955, -73.92013788571438 40.81738839197506, -73.92004994436279 40.81736575196832)))",960,BX,2331,33,330 East 150th Street,2023310033,"Firehouse, Engine Company 41",LP-02521,"Borough of the Bronx Tax Map Block 2331, Lot 33",Designated,,06/12/2012,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2521.pdf,257.369381996,2646.68681829
"MULTIPOLYGON (((-73.90148079727635 40.831344466509904, -73.9017753172753 40.831090620515816, -73.9021099574223 40.831308963546164, -73.90206785453219 40.831322900783995, -73.90203473043304 40.83133239448658, -73.9020061693437 40.83133959219243, -73.90197868160686 40.83134569129893, -73.9019432817906 40.83135238520265, -73.90191872086223 40.831356283271774, -73.90190075371146 40.83135875515745, -73.90189374579376 40.83135963438287, -73.9018865470418 40.83136048643066, -73.90187935191939 40.831361288953836, -73.90187227425938 40.831362028541854, -73.90186503541065 40.83136273647497, -73.90185791876524 40.831363382377454, -73.90185085317421 40.83136397699471, -73.90184367145869 40.831364530990406, -73.90183645898645 40.83136503903429, -73.90182929994235 40.831365493993935, -73.9018220674577 40.83136590566684, -73.9018149180427 40.831366262479854, -73.90180773787232 40.83136657244046, -73.90180053761661 40.831366835557795, -73.90179334454598 40.83136705005404, -73.90178615032022 40.83136724383749, -73.90177899884351 40.83136739083115, -73.9017718450435 40.83136750540456, -73.90176469010711 40.83136758665822, -73.90175753640146 40.831367637295656, -73.90175038274499 40.831367654614404, -73.90174322676526 40.83136763951288, -73.90173607201768 40.83136759289461, -73.90172891850352 40.83136751385915, -73.9017217650386 40.831367401505, -73.90171461280711 40.83136725673354, -73.90170746062095 40.83136708134493, -73.901700312042 40.83136687174011, -73.90169316350831 40.83136663151804, -73.90168601739505 40.83136635797927, -73.9016788737008 40.83136605202433, -73.90167173242435 40.83136571455363, -73.90166459475385 40.83136534376728, -73.90165745950115 40.831364941465225, -73.90165032785174 40.83136450764842, -73.90164319980838 40.831364040515986, -73.90163607418407 40.831363540967345, -73.90162895453298 40.83136301080648, -73.90162183848787 40.83136244732999, -73.90161472604747 40.83136185143825, -73.90160761839472 40.831361224933396, -73.90160051790467 40.83136056511584, -73.90159341983383 40.8313598728821, -73.90158633010861 40.831359149137725, -73.90157924398815 40.831358392978146, -73.90157216384222 40.83135760530592, -73.90156509085773 40.831356785221544, -73.90155802621891 40.8313559336265, -73.90155096518357 40.83135505051679, -73.90154391368218 40.831354134096486, -73.90153686933822 40.831353187965505, -73.90152982978734 40.83135220761939, -73.90152279976505 40.8313511975646, -73.90151577808982 40.83135015509872, -73.90150876357606 40.83134908022069, -73.90150175859236 40.83134797473354, -73.90149476314122 40.83134683683632, -73.9014877748517 40.831345666526914, -73.90148079727635 40.831344466509904)))",961,BX,2615,23,610 East 169th Street,2026150023,"New York Public Library, Morrisania Branch",LP-01996,"Borough of The Bronx Tax Map Block 2615, Lot 23.",Designated,originally the McKinley Square Branch,06/16/1998,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/1996.pdf,423.239668185,9238.42179124
"MULTIPOLYGON (((-73.91564729480758 40.80591985235941, -73.91583789250107 40.805657108163146, -73.91599870361671 40.80572505462079, -73.91580826187804 40.80598758847693, -73.91564729480758 40.80591985235941)))",962,BX,2550,28,618 East 138th Street,2025500028,"Firehouse, Engine Company 83 and Hook & Ladder 29",LP-02520,"Borough of the Bronx Tax Map Block 2550, Lot 28",Designated,,06/12/2012,Individual Landmark,http://s-media.nyc.gov/agencies/lpc/lp/2520.pdf,320.402594013,5565.69792557
